2018-01-12,中银国际    ,600606,绿地控股 ,绿地控股（600606）2018年业绩快报：归母净利增速回升，龙头估值修复通道开启-180112                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,中泰证券    ,600606,绿地控股 ,绿地控股（600606）17年业绩快报点评：业绩超预期，上调评级至“买入”-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,西南证券    ,300170,汉得信息 ,汉得信息（300170）智能制造，ERP实施服务龙头的新征程-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,东吴证券    ,603816,顾家家居 ,顾家家居（603816）建立顾家黄冈基地，深度覆盖华中地区-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,东吴证券    ,300316,晶盛机电 ,晶盛机电（300316）光伏订单势如破竹，半导体订单持续可期-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,天风证券    ,600030,中信证券 ,中信证券(600030)具有交易基因的王者之师，优势板块再现光芒-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,天风证券    ,000671,阳光城  ,阳光城(000671)负债向下利润向上，管理积极储备充足-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p278/                                                          ,51pdf,
2018-01-12,天风证券    ,300203,聚光科技 ,聚光科技(300203)业绩预告符合预期，看好监测+PPP双轮驱动-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,天风证券    ,600426,华鲁恒升 ,华鲁恒升(600426)系列报告（三）：站在乙二醇竞争力和煤油价差角度，如何重新审视公司价值？-180111                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,国泰君安    ,000830,鲁西化工 ,鲁西化工(000830)看好公司业绩高速增长-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,国泰君安    ,603260,合盛硅业 ,合盛硅业(603260)全产业链布局龙头，受益有机硅高景气-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,广发证券    ,600019,宝钢股份 ,宝钢股份（600019）深度报告：三大钢种国际先进，宝武协同增强弹性，全球竞争力和投资价值凸显-180112                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,浙商证券    ,002508,老板电器 ,老板电器(002508)潮平两岸阔，风正一帆悬-180108                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,申万宏源    ,603686,龙马环卫 ,龙马环卫(603686)2017年业绩预告点评：设备+服务助收入创新高，完善环卫全产业链布局-180112                                                                                                                                                                                                                                                                                                                                                                                                                                       ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,申万宏源    ,600859,王府井  ,王府井(600859)吸并交割完成，业绩趋势反转，国改预期增强-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,申万宏源    ,600801,华新水泥 ,华新水泥(600801)业绩略超预期，危废处置是未来看点-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,申万宏源    ,300285,国瓷材料 ,国瓷材料(300285)内生外延共促业绩高增长，产业链整合打开长期成长空间-180112                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,海通证券    ,600466,蓝光发展 ,"蓝光发展(600466)公司公告点评-高要求,强激励-正式推出期权激励方案-180112"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,太平洋证券   ,603866,桃李面包 ,桃李面包（603866）收入稳定增长，利润加速恢复-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
2018-01-12,太平洋证券   ,002353,杰瑞股份 ,杰瑞股份（002353）油价中枢上行，油气装备有望释放业绩弹性-180111                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p279/                                                          ,51pdf,
